ActionType,ActionDate,AssistanceType,RecordType,FAIN,AwardModificationAmendmentNumber,URI,CorrectionDeleteIndicator,SAI_Number,AwardeeOrRecipientLegalEntityName,AwardeeOrRecipientUniqueIdentifier,LegalEntityAddressLine1,LegalEntityAddressLine2,LegalEntityZIP5,LegalEntityZIPLast4,LegalEntityCongressionalDistrict,LegalEntityCountryCode,LegalEntityForeignCityName,LegalEntityForeignProvinceName,LegalEntityForeignPostalCode,BusinessTypes,FundingSubTierAgencyCode,FundingOfficeCode,AwardingSubTierAgencyCode,AwardingOfficeCode,CFDA_Number,PrimaryPlaceOfPerformanceCode,PrimaryPlaceOfPerformanceCountryCode,PrimaryPlaceOfPerformanceZIP+4,PrimaryPlaceOfPerformanceForeignLocationDescription,PrimaryPlaceOfPerformanceCongressionalDistrict,AwardDescription,PeriodOfPerformanceStartDate,PeriodOfPerformanceCurrentEndDate,FederalActionObligation,NonFederalFundingAmount,FaceValueLoanGuarantee,OriginalLoanSubsidyCost,BusinessFundsIndicator
,20190228,10,1,  ,,6402820190200011,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NY**003,USA,,,23,CH33,,,0000082688,,,,NON
,20190228,10,1,  ,,6402820190200012,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OH**007,USA,,,14,CH33,,,0000133036,,,,NON
,20190228,10,1,  ,,6402820190200013,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NV**007,USA,,,02,CH33,,,0000088875,,,,NON
,20190228,10,1,  ,,6402820190200014,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MT**043,USA,,,00,CH33,,,0000059406,,,,NON
,20190228,10,1,  ,,6402820190200015,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NM**043,USA,,,90,CH33,,,0000487280,,,,NON
,20190228,10,1,  ,,6402820190200016,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OH**043,USA,,,90,CH33,,,0000155627,,,,NON
,20190228,10,1,  ,,6402820190200017,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WA**043,USA,,,05,CH33,,,0000014549,,,,NON
,20190228,10,1,  ,,6402820190200018,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IL**045,USA,,,15,CH33,,,0000006186,,,,NON
,20190228,10,1,  ,,6402820190200019,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MI**045,USA,,,07,CH33,,,0000289967,,,,NON
,20190228,10,1,  ,,6402820190200020,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MO**045,USA,,,06,CH33,,,0000005100,,,,NON
,20190228,10,1,  ,,6402820190200021,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WA**045,USA,,,90,CH33,,,0000259045,,,,NON
,20190228,10,1,  ,,6402820190200022,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WI**045,USA,,,02,CH33,,,0000036312,,,,NON
,20190228,10,1,  ,,6402820190200023,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,VA**115,USA,,,01,CH33,,,0000042685,,,,NON
,20190228,10,1,  ,,6402820190200024,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MN**117,USA,,,07,CH33,,,0000009185,,,,NON
,20190228,10,1,  ,,6402820190200025,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MS**117,USA,,,01,CH33,,,0000034827,,,,NON
,20190228,10,1,  ,,6402820190200026,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,SD**117,USA,,,00,CH33,,,0000008798,,,,NON
,20190228,10,1,  ,,6402820190200027,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IN**119,USA,,,08,CH33,,,0000019310,,,,NON
,20190228,10,1,  ,,6402820190200028,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IN**047,USA,,,06,CH33,,,0000004959,,,,NON
,20190228,10,1,  ,,6402820190200029,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,KY**047,USA,,,01,CH33,,,0000922059,,,,NON
,20190228,10,1,  ,,6402820190200030,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MO**047,USA,,,90,CH33,,,0000836975,,,,NON
,20190228,10,1,  ,,6402820190200031,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OH**047,USA,,,90,CH33,,,0000053033,,,,NON
,20190228,10,1,  ,,6402820190200032,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,TX**047,USA,,,15,CH33,,,0000004050,,,,NON
,20190228,10,1,  ,,6402820190200033,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,PR**047,USA,,,98,CH33,,,0000010707,,,,NON
,20190228,10,1,  ,,6402820190200034,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,CA**049,USA,,,01,CH33,,,0000007542,,,,NON
,20190228,10,1,  ,,6402820190200035,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IN**049,USA,,,02,CH33,,,0000012469,,,,NON
,20190228,10,1,  ,,6402820190200036,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NC**049,USA,,,03,CH33,,,0000789284,,,,NON
,20190228,10,1,  ,,6402820190200037,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OH**049,USA,,,90,CH33,,,0002821772,,,,NON
,20190228,10,1,  ,,6402820190200038,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,CA**051,USA,,,08,CH33,,,0000026235,,,,NON
,20190228,10,1,  ,,6402820190200039,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,CO**051,USA,,,03,CH33,,,0000050814,,,,NON
,20190228,10,1,  ,,6402820190200040,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IN**121,USA,,,08,CH33,,,0000012166,,,,NON
,20190228,10,1,  ,,6402820190200041,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,KS**121,USA,,,90,CH33,,,0000089498,,,,NON
,20190228,10,1,  ,,6402820190200042,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MN**121,USA,,,07,CH33,,,0000002688,,,,NON
,20190228,10,1,  ,,6402820190200043,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OH**121,USA,,,06,CH33,,,0000002193,,,,NON
,20190228,10,1,  ,,6402820190200044,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,TN**121,USA,,,04,CH33,,,0000019730,,,,NON
,20190228,10,1,  ,,6402820190200045,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,VA**121,USA,,,09,CH33,,,0000607580,,,,NON
,20190228,10,1,  ,,6402820190200046,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,AL**123,USA,,,03,CH33,,,0000070289,,,,NON
,20190228,10,1,  ,,6402820190200047,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,KY**123,USA,,,02,CH33,,,0000025545,,,,NON
,20190228,10,1,  ,,6402820190200048,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OK**123,USA,,,04,CH33,,,0000080185,,,,NON
,20190228,10,1,  ,,6402820190200049,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MO**125,USA,,,03,CH33,,,0000028881,,,,NON
,20190228,10,1,  ,,6402820190200050,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OH**125,USA,,,05,CH33,,,0000015123,,,,NON
,20190228,10,1,  ,,6402820190200051,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IA**051,USA,,,02,CH33,,,0000012577,,,,NON
,20190228,10,1,  ,,6402820190200052,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MN**051,USA,,,07,CH33,,,0000002022,,,,NON
,20190228,10,1,  ,,6402820190200053,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NE**051,USA,,,90,CH33,,,0000013608,,,,NON
,20190228,10,1,  ,,6402820190200054,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IA**053,USA,,,02,CH33,,,0000003479,,,,NON
,20190228,10,1,  ,,6402820190200055,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MI**053,USA,,,01,CH33,,,0000024177,,,,NON
,20190228,10,1,  ,,6402820190200056,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MT**053,USA,,,00,CH33,,,0000029788,,,,NON
,20190228,10,1,  ,,6402820190200057,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NE**053,USA,,,01,CH33,,,0000036500,,,,NON
,20190228,10,1,  ,,6402820190200058,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NC**053,USA,,,03,CH33,,,0000258084,,,,NON
,20190228,10,1,  ,,6402820190200059,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,PR**054,USA,,,98,CH33,,,0000005646,,,,NON
,20190228,10,1,  ,,6402820190200060,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,KS**127,USA,,,01,CH33,,,0000017799,,,,NON
,20190228,10,1,  ,,6402820190200061,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,LA**127,USA,,,05,CH33,,,0000006962,,,,NON
,20190228,10,1,  ,,6402820190200062,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NE**127,USA,,,03,CH33,,,0000004919,,,,NON
,20190228,10,1,  ,,6402820190200063,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,PR**127,USA,,,98,CH33,,,0000282826,,,,NON
,20190228,10,1,  ,,6402820190200064,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IA**129,USA,,,03,CH33,,,0000043564,,,,NON
,20190228,10,1,  ,,6402820190200065,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,KY**129,USA,,,05,CH33,,,0000004564,,,,NON
,20190228,10,1,  ,,6402820190200066,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IN**131,USA,,,02,CH33,,,0000006138,,,,NON
,20190228,10,1,  ,,6402820190200067,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MO**055,USA,,,08,CH33,,,0000017262,,,,NON
,20190228,10,1,  ,,6402820190200068,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,UT**055,USA,,,02,CH33,,,0000003792,,,,NON
,20190228,10,1,  ,,6402820190200069,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,FL**057,USA,,,90,CH33,,,0010853018,,,,NON
,20190228,10,1,  ,,6402820190200070,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MI**057,USA,,,04,CH33,,,0000087244,,,,NON
,20190228,10,1,  ,,6402820190200071,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NC**057,USA,,,13,CH33,,,0000183490,,,,NON
,20190228,10,1,  ,,6402820190200072,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OH**057,USA,,,10,CH33,,,0001328478,,,,NON
,20190228,10,1,  ,,6402820190200073,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WA**057,USA,,,90,CH33,,,0000507151,,,,NON
,20190228,10,1,  ,,6402820190200074,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,PR**057,USA,,,98,CH33,,,0000045534,,,,NON
,20190228,10,1,  ,,6402820190200075,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IN**059,USA,,,06,CH33,,,0000223120,,,,NON
,20190228,10,1,  ,,6402820190200076,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IA**133,USA,,,04,CH33,,,0000008904,,,,NON
,20190228,10,1,  ,,6402820190200077,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MS**133,USA,,,02,CH33,,,0000013362,,,,NON
,20190228,10,1,  ,,6402820190200078,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,AR**135,USA,,,01,CH33,,,0000073815,,,,NON
,20190228,10,1,  ,,6402820190200079,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MN**135,USA,,,07,CH33,,,0000028065,,,,NON
,20190228,10,1,  ,,6402820190200080,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MO**135,USA,,,04,CH33,,,0000019735,,,,NON
,20190228,10,1,  ,,6402820190200081,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NC**135,USA,,,04,CH33,,,0000432739,,,,NON
,20190228,10,1,  ,,6402820190200082,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OH**135,USA,,,08,CH33,,,0000041163,,,,NON
,20190228,10,1,  ,,6402820190200083,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,TX**135,USA,,,11,CH33,,,0000215340,,,,NON
,20190228,10,1,  ,,6402820190200084,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WI**135,USA,,,08,CH33,,,0000073381,,,,NON
,20190228,10,1,  ,,6402820190200085,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,PR**137,USA,,,98,CH33,,,0000105270,,,,NON
,20190228,10,1,  ,,6402820190200086,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MI**139,USA,,,02,CH33,,,0000558093,,,,NON
,20190228,10,1,  ,,6402820190200087,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NC**139,USA,,,03,CH33,,,0000293276,,,,NON
,20190228,10,1,  ,,6402820190200088,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MN**059,USA,,,08,CH33,,,0000077473,,,,NON
,20190228,10,1,  ,,6402820190200089,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,TN**059,USA,,,01,CH33,,,0000127240,,,,NON
,20190228,10,1,  ,,6402820190200090,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,AR**061,USA,,,04,CH33,,,0000013575,,,,NON
,20190228,10,1,  ,,6402820190200091,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,CA**061,USA,,,90,CH33,,,0001684925,,,,NON
,20190228,10,1,  ,,6402820190200092,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,ID**061,USA,,,01,CH33,,,0000003583,,,,NON
,20190228,10,1,  ,,6402820190200093,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MO**061,USA,,,06,CH33,,,0000010149,,,,NON
,20190228,10,1,  ,,6402820190200094,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,AL**063,USA,,,07,CH33,,,0000010357,,,,NON
,20190228,10,1,  ,,6402820190200095,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MS**141,USA,,,01,CH33,,,0000033771,,,,NON
,20190228,10,1,  ,,6402820190200096,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OK**141,USA,,,04,CH33,,,0000025438,,,,NON
,20190228,10,1,  ,,6402820190200097,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IL**143,USA,,,90,CH33,,,0000218465,,,,NON
,20190228,10,1,  ,,6402820190200098,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IN**143,USA,,,90,CH33,,,0000040223,,,,NON
,20190228,10,1,  ,,6402820190200099,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MI**143,USA,,,04,CH33,,,0000069202,,,,NON
,20190228,10,1,  ,,6402820190200100,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MN**143,USA,,,07,CH33,,,0000006687,,,,NON
,20190228,10,1,  ,,6402820190200101,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OH**143,USA,,,04,CH33,,,0000139479,,,,NON
,20190228,10,1,  ,,6402820190200102,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,TN**143,USA,,,04,CH33,,,0000046536,,,,NON
,20190228,10,1,  ,,6402820190200103,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OH**145,USA,,,90,CH33,,,0000159012,,,,NON
,20190228,10,1,  ,,6402820190200104,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OH**063,USA,,,05,CH33,,,0000170523,,,,NON
,20190228,10,1,  ,,6402820190200105,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,CA**065,USA,,,90,CH33,,,0012152471,,,,NON
,20190228,10,1,  ,,6402820190200106,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,GA**065,USA,,,01,CH33,,,0000016195,,,,NON
,20190228,10,1,  ,,6402820190200107,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OK**065,USA,,,03,CH33,,,0000118991,,,,NON
,20190228,10,1,  ,,6402820190200108,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,VA**065,USA,,,05,CH33,,,0000041248,,,,NON
,20190228,10,1,  ,,6402820190200109,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,PR**147,USA,,,98,CH33,,,0000000860,,,,NON
,20190228,10,1,  ,,6402820190200110,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OH**149,USA,,,04,CH33,,,0000089340,,,,NON
,20190228,10,1,  ,,6402820190200111,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OK**149,USA,,,03,CH33,,,0000012547,,,,NON
,20190228,10,1,  ,,6402820190200112,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,AK**150,USA,,,00,CH33,,,0000102897,,,,NON
,20190228,10,1,  ,,6402820190200113,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,KY**151,USA,,,06,CH33,,,0000614784,,,,NON
,20190228,10,1,  ,,6402820190200114,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MS**153,USA,,,04,CH33,,,0000009561,,,,NON
,20190228,10,1,  ,,6402820190200115,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,OK**153,USA,,,03,CH33,,,0000008085,,,,NON
,20190228,10,1,  ,,6402820190200116,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,NV**009,USA,,,04,CH33,,,0000001919,,,,NON
,20190228,10,1,  ,,6402820190200117,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,SC**009,USA,,,06,CH33,,,0000033424,,,,NON
,20190228,10,1,  ,,6402820190200118,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,VA**009,USA,,,06,CH33,,,0000051202,,,,NON
,20190228,10,1,  ,,6402820190200119,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,WI**009,USA,,,08,CH33,,,0000434242,,,,NON
,20190228,10,1,  ,,6402820190200120,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,GU**010,USA,,,98,CH33,,,0001498025,,,,NON
,20190228,10,1,  ,,6402820190200121,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,CA**011,USA,,,03,CH33,,,0000019314,,,,NON
,20190228,10,1,  ,,6402820190200122,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,CT**011,USA,,,02,CH33,,,0001556986,,,,NON
,20190228,10,1,  ,,6402820190200123,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,IL**011,USA,,,16,CH33,,,0000038820,,,,NON
,20190228,10,1,  ,,6402820190200124,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MI**011,USA,,,05,CH33,,,0000018894,,,,NON
,20190228,10,1,  ,,6402820190200125,,   ,MULTIPLE RECIPIENTS,,,,,,   ,USA,,,,P,3640,36B028,3640,36B028,64.028,MO**011,USA,,,04,CH33,,,0000017300,,,,NON
