Scholarship Name,University,Scholarship Value,Deadline,Location,Bachelor,Phd,Master,Description,Link,Programs,Rank,class
NASP Scholarships for International Talented Students in North America,,8000.0,2021-02-01,,1.0,1.0,1.0,Applicants are invited to apply for the NASP Scholarships for 2020-2021 entry. The program is available to outstanding international and domestic students.Awards are made on the basis of academic merit.,https://scholarships.plus/scholarships/bachelor/north-america/,,,11
NASP Scholarships for International and Domestic Students in North America,,5000.0,2021-03-01,,1.0,1.0,1.0,Make a difference to the development of your home country with our North America Scholarships program covering 50% to 100% of tuition fees. Founded in 2011 NASP is our flagship scholarship program for international students.,https://scholarships.plus/scholarships/all-degrees/north-america/,,,10
Apex GMAT - GMAT Instruction Scholarship,,,2020-09-30,,0.0,0.0,1.0,Apex is committed to delivering the best-customized one to one GMAT tutoring available on the market today. With instructors achieving a minimum of 770. The Apex GMAT Scholarship is designed to address this need for quality GMAT instruction and permit Apex to assist worthy candidates from a range of backgrounds.This application is designed to provide us with a snapshot of your hopes goals and dreams so that we can allocate our teaching resources to those individuals who best represent our ethos.Awards are both need and merit-based and are awarded by an internal committee at the sole discretion of Apex GMAT. As GMAT preparation and applications are often time-sensitive we strive to make scholarship decisions within 5 business days of submission.This application is designed to be completed at a single sitting in under an hour. While we hope that you’ll present your best self we encourage you to answer the questions as plainly and directly as possible. Revision and style are things best left to your GMAT application – we just want to learn about you!,https://apexgmat.com/gmat-scholarship/,,,
McLean DDS Medical Scholarship,,1000.0,2020-08-01,,1.0,0.0,1.0,McLean DDS supports students pursuing a medical degree. Through the McLean DDS Medical Scholarship we award the winning student $1000 to be used toward his or her degree.,https://www.mclean-dentist.com/scholarship,,,9
RTA Cabinet Supply LLC Innovation Scholarship,,500.0,2020-04-30,,1.0,1.0,1.0,What home improvement innovations are unusual today but will be normal in 20 years?We are looking for products and/or services that are available on the market today. However they are considered expensive or unusual. Alternatively you can write an essay about home improvement innovations that are not available on the market yet but have a high potential.,https://www.rtacabinetsupply.com/innovation-scholarship.html,,,10
Future Educator Scholarship,,1000.0,2020-08-20,,1.0,1.0,1.0,Mrs Prindables is offering a 2020 Scholarship opportunity for incoming or current college students majoring in education. We believe that educators have the power to spark positive development in student’s lives and their futures.Whether you are an incoming freshman or current student majoring in education we want to encourage you to apply for this $1000 scholarship.,,,,11
Spotless Cleaning Chicago Scholarship Program,,1000.0,2020-12-30,,1.0,0.0,1.0,Here at Spotless Cleaning Chicago we recognize that the future will be shaped by the bold. At this very moment young visionaries from all over the globe are recognizing the need for innovation reshaping the way we understand the business and revolutionizing systems.Every day we meet thousands of these inspiring young individuals with big dreams great determination and an intense desire to change the world for the better. We believe potential like this should be encouraged developed and fostered until it becomes mature enough – immense enough – to impact society touch lives and move nations. That’s why we at Spotless Cleaning Chicago are reaching out to this generation of dreamers and we would like to give them the privilege to nourish their dreams to the fullest.,https://www.spotlesscleaningchicago.com/scholarship/,,,3
Bachelor and Master Plus Scholarships for Talented Students in the United States,,2000.0,2020-03-31,,1.0,0.0,1.0,A Need-Based Scholarship Program for International and domestic students. Each year since 2016 a small highly talented group of international students is awarded need-based scholarships as part of our Plus Scholars Program. For most awards we consider academic achievement only.,https://scholarships.plus/scholarships/bachelor/united-states/,,,9
Asset Based Lending Scholarship,,1000.0,2020-08-15,,1.0,0.0,1.0,At ABL our commitment to financial literacy and continuing education extends beyond simply evaluating projects with our borrowers. Therefore we’re proud to offer a scholarship program for students in the process of pursuing a college degree in real estate for financial services related fields. The awarded student will receive $1000 to be used towards expenses for his or her degree.,https://www.abl1.net/scholarship/,,,9
Dixie Belle Paint Company Scholarship,,,2020-07-31,USA,1.0,0.0,1.0,Dixie Belle Paint is a family-owned and operated paint company right here in the good ol’ USA! Built on American values and true Southern Hospitality.,,,,
MILEMARK MEDIA LEGAL SCHOLARSHIP – 2020,,1000.0,2020-02-13,,1.0,1.0,1.0,"MileMark Media is offering an annual $1000 legal scholarship to incoming or current law school students. MileMark is proud to support the legal community and excited for those entering the legal profession. Applicants must write a 500-word essay explaining why they have decided to enter the legal field including the reasons for deciding to go to law school legal influences current or life events contributing to their decision future legal goals and/or where you see yourself as a lawyer down the road etc. Essays transcripts and proof of enrollment can be emailed to us (please visit the website to find our contact details) subject line as ""Scholarship"". The winner along with their essay may be published on the company websites and social media.",https://www.milemarkmedia.com/legal-scholarship/,,,10
2020 Numina Group Scholarship,,500.0,2020-11-30,,1.0,1.0,1.0,At Numina Group we are proud to offer a scholarship program for students in the process of pursuing a college degree in STEM. The awarded student will receive $500 to be used towards expenses for his or her degree.,https://numinagroup.com/2020-numina-group-scholarship/,,,14
Student Essays Scholarship,,1000.0,2020-03-25,,0.0,0.0,1.0,Mystudentessays is an independent organization that believes in the power of education knowledge awareness and guidance. We know the rocky roads ahead both in personal and professional life. Therefore we are committed to help students financially so that they beat the challenges ahead.This scholarship is meant to help students college tuition boarding supplies and books. Please read below for further guidelines on how to be the lucky to grab a scholarship for you,https://mystudentsessays.com/scholarship,,,8
Cyber Security Scholarship,,1000.0,2020-07-15,,1.0,1.0,1.0,As cybercrime increases so does the demand for cybersecurity experts. A scholarship is now being offered to assist students with an interest in the cybersecurity industry. Students should have a declared major in a cybersecurity or related field (Ex. Network Security IT Security Information Assurance and Security Computer Forensics or Health Information Security etc).,https://cyber-security.degree/1k-scholarship/,,,10
Education Connection (EC) Military Scholarship,,1000.0,2020-09-30,USA,1.0,1.0,1.0,To show the utmost gratitude for the sacrifices made by the United States military and their families Education Connection is offering a scholarship worth $1000 to assist current and former military-affiliated officials in advancing their civilian career paths. The scholarship can be used for college-related expenses.,,,,17
Phyliss J. McCarthy Scholarship for Excellence in Writing,,,2020-07-23,,1.0,0.0,0.0,Entries will be accepted until July 23rd 2020. On August 6th 2020 a grand prize scholarship winner ($1000) and two runners up ($50) will be announced and (pending author approval) their stories will be featured on the Learncurious website and blog. Entrants must be current or rising (2020-2021) high school juniors or seniors to win.2020 Prompts:In 3000 words or fewer respond to one of the following prompts:NARRATIVE: Tell a story about someone coping with loss or taking a leap of faith.META: Describe a major turning point in your evolution as a writer.WACKY: Complete the 20 Mad-Lib-style fill-in-the-blanks below then craft a story that includes each of your chosen words at least once.____ (singular noun)____ (item found on a nature hike)____ (positive personality trait)____ (action verb)____ (number between 1934-2019)____ (color)____ (type of food)____ (plural noun)____ (location)____ (animal)____ (verb ending in -ing)____ (mode of transportation)____ (plural noun that ends with an apostrophe)____ (TV show)____ (adverb)____ (random word you like the sound of)____ (contraction)____ (article of clothing)____ (adjective)____ (something comforting),https://www.learncurious.com/scholarship,,,
Micro-Scholarships for Online Courses,,,2020-02-09,,0.0,0.0,0.0,BitDegree provides a new scholarship opportunity: micro-scholarships for online courses.These scholarships can fund your online education (course fees are funded + you can get a financial reward for finishing the course) and there are minimal limits who can apply. All you need to do to become eligible is fill out the application form on our website with your personal information and the course you want to study go through the verification process and wait for a sponsor to select you to be sponsored.The most important thing to get a scholarship: the personal story you have to write in the application. In your own story you have to show that your chosen course can have an impact on your future.Once you have been sponsored you will have to finish your course until the deadline and if you are successful you will get a blockchain certificate that can unlock a financial reward for completing the course.,https://www.bitdegree.org/scholarships,,,
$1000 Essay Scholarship,,1000.0,2020-02-20,,0.0,0.0,0.0,CarHP is offering a scholarship of USD 1000 to International students studying in the United States. This scholarship would be an excellent approach to offer need-based aid to students seeking financial assistance. The scholarship would be **awarded annually **and students will be shortlisted based on their performance in the essay.,https://carhp.com,,,5
Military Scholarship for Veterans Active Duty and Military Spouses,,,2020-09-30,USA,1.0,1.0,1.0,Why was the military scholarship created?Education is valuable but it can also be costly. Paying for college on top of everyday expenses can be difficult and every little bit can help! To show thanks for the sacrifices made by the United States military and their families Education Connection is offering a scholarship worth $1000. We hope to help offset the costs of earning a degree and pursuing those next steps in your civilian career path.The winner can use the $1000 tuition voucher for any cost related to his or her college. Some restrictions may apply based on the school.,,,,
Education for Sustainable Energy Development (ESED) Scholarship Program,,,2020-03-06,,0.0,0.0,1.0,The Education for Sustainable Energy Development (ESED) scholarship program inspires the next generation of innovators and thinkers to create a sustainable future.Our scholars are exceptional students from developing countries studying in sustainable energy development. Today the need for globally-oriented practitioners and researchers is growing rapidly. Our one-of-a-kind scholarship program fosters the next generation of energy climate and electricity sector specialists who will be prepared to tackle the challenges of the future.GSEP has awarded 125 scholarships since the inception of the program in 2001.,https://www.globalelectricity.org/scholarship/how-to-apply/,,,
CV Star Foundation funding for Chinese Students at Indiana University Bloomington,Indiana University Bloomington,4000.0,2020-02-01,Ironton,1.0,0.0,0.0,The C.V. Starr Foundation Scholarship at Indiana University is a one-year award offered to high achieving nonimmigrant first-year undergraduate students from China.The value of this award for the 2016–2017 academic year is $4000.,https://ois.iu.edu/admissions/cost-finances/financial-aid/scholarships/cvstarr.html,"data science, business analytic, major business analytic",Un,4
Global Scholars Program to Study at Babson College,Babson College,,,Ironton,1.0,0.0,0.0,"A Need-Based Scholarship Program for International Students.Each year since 2014 a small highly talented group of international students is awarded need-based scholarships as part of our Global Scholars Program.In announcing the program at her inauguration President Kerry Healey said: ""Babson's Global Scholars will bring new perspectives and ideas to Babson that we in turn will share with the world.""",https://www.babson.edu/admission/tuition-and-financial-aid/undergraduate/financial-aid/financial-aid-for-international-students/global-scholars-program/,business analytic,Un,
British Council IELTS Award 2020,,,2020-06-10,Germany,1.0,1.0,1.0,Apply for the British Council IELTS Award 2020 and receive up to £10000 to fund your studies worldwide!Creating opportunities that can change lives we established the British Council IELTS Award in order to assist high caliber individuals who have a strong motivation to develop their career and who can demonstrate that they have the potential to contribute to society with their studies.The award will enable successful applicants to study at an undergraduate or postgraduate level at an institution of higher education anywhere in the world (in Germany or abroad) in an English taught program that accepts IELTS as part of its admission requirements.The British Council IELTS Award is worth between £3000 up to £10000 depending on the tuition fees of the institution chosen by the winner and will go towards the cost of tuition fees of the individual's selected course. The award applies only to courses in the 2020-21 academic year (i.e. starting August 2020 onwards) and will be paid directly to the institution.If tuition fees of the successful candidate are below the maximum individual award fund of £10000 remaining funds may be allocated to support other runners-up.The successful applicant will demonstrate a commitment to networking within the IELTS community and sharing their experience with other IELTS candidates.,https://www.britishcouncil.de/en/exam/ielts/award,,,
Anaheim University Ferrotec Akira Yamamura Scholarship in the USA,Anaheim University,,2020-03-20,,0.0,0.0,1.0,Two (2) students can earn a full scholarship towards an Anaheim University online Master of Business Administration (MBA) degree program.,https://anaheim.edu/about-anaheim-university/news/2235-mba-scholarships-2020.html,,,
National Buckeye Scholarship,,54000.0,,,1.0,0.0,0.0,For most awards we consider academic achievement only. For others financial need is also considered. International freshmen are not eligible for merit scholarships.,http://undergrad.osu.edu/cost-and-aid/merit-based-scholarships,,,2
Spirit of Giving Scholarship,Unity College,3000.0,,Unity,1.0,0.0,0.0,Each year Wine Country Gift Baskets awards annual scholarships to three well-deserving students displaying the spirit of giving. The Wine Country Gift Baskets Spirit of Giving Scholarship is our way of encouraging acts of kindness service and giving so they remain an important part of our future.We are happy to award a scholarship of $1000 to three winners,https://www.winecountrygiftbaskets.com/information/scholarship.asp,,730,13
Global Corners International Student Recruitment and Retention Award at University of Oregon in USA,University of Oregon,45000.0,2020-03-01,Eugene ...,1.0,0.0,1.0,International engagement is essential to the academic and cultural vibrancy of the University of Oregon as it seeks to prepare students for the challenges of the 21st century. The Global Corners Award assists the University of Oregon in its efforts to recruit and retain promising students who come from all corners of the globe and whose presence on campus helps the university to advance its strategic interests in internationalization.Consequently the Global Corners Award helps to implement the UO’s Strategic Framework for 2016-2021 which identifies “diversity and global reach by recruiting top international students” as a key strategic initiative against the backdrop of “educating the whole person and to fostering the next generation of transformational leaders and informed participants in the global community.”,https://isss.uoregon.edu/sites/isss1.uoregon.edu/files/gc2020.pdf,,67,9
First General Bank program,Scholarships Available for Current College Juniors and Seniors Majoring in Business,10000.0,2020-03-25,,1.0,0.0,0.0,Four (4) $2500 Scholarships Available for Current College Juniors and Seniors Majoring in Business or English as a Full-Time Degree-Seeking Student in the Fall of 2020. First General Bank is committed to supporting economically-challenged young adults residing in its business service territories to fulfill their dreams of obtaining a higher education.,https://www.apcf.org/first-general-bank,,,16
2020 Royal Business Bank program,Unity College,8000.0,2020-03-25,Unity,1.0,0.0,0.0,Four $2000 Scholarships Available for High School Seniors. Planning to Attend College as a Full-Time Degree-Seeking Student in the Fall of 2020. Royal Business Bank is committed to supporting youth residing in its business service territories to fulfill their dreams of obtaining a higher education.,https://www.apcf.org/2020-royal-business-bank-scholarship-program/,,730,16
2020 Mega Bank program,Unity College,10000.0,2020-03-25,Unity,1.0,0.0,0.0,Ten (10) $1000 Scholarships Available for High School Seniors. Planning to Attend College as a Full-Time Degree-Seeking Student in the Fall of 2020. Mega Bank is committed to supporting youth residing in its business service territories to fulfill their dreams of obtaining a higher education.,https://www.apcf.org/2020-mega-bank-scholarship-program/,,730,13
Global Spartan Leadership Program for International Students at Michigan State University,Michigan State University,8000.0,,Unity,1.0,0.0,0.0,During the Global Spartan Leadership Program (GSLP) international undergraduate participants will receive training on global leadership attend cultural events join service-learning projects and receive an $8000 scholarship upon successful completion of the program requirements.GSLP promotes leadership development that is inclusive purposeful collaborative and values-based.,https://oiss.isp.msu.edu/get-involved/student-leadership/global-spartan-leadership-scholarship-program/,"business analytic, statistic",730,7
Cathay Bank foundation grant Program,Unity College,20.0,2020-03-25,Unity,1.0,0.0,0.0,Twenty $1000 Scholarships Available for High School Seniors. Planning to Attend College as a Full-Time Degree-Seeking Student in the Fall of 2020. Cathay Bank Foundation is committed to supporting youth residing in its business service territories to fulfill their dreams of obtaining a higher education.,https://www.apcf.org/2020-cathay-bank-foundation-scholarship-program,,730,7
Global Scholar Award for International Students at Marquette University,Marquette University,,2020-03-01,Milwaukee,1.0,0.0,0.0,The Global Scholar award recognizes the importance of diverse world views and international perspectives within the Marquette University community. This competitive award offers full-tuition based on a student’s high academic achievement demonstrated interest in global perspectives and the student’s potential for providing significant global contributions to the Marquette community. It is awarded annually to up to three talented freshmen international students who will first enroll in the fall semester. Students in all academic fields will be considered.The scholarship is renewable each year of the recipient’s four-year (eight-semester) undergraduate program provided that the student remains in good academic standing. Global Scholars are expected to initiate and contribute to global engagement activities within the campus and Milwaukee communities each year of the award.,https://www.marquette.edu/explore/scholarships-global-scholar.php,,165,
Johnson Scholarship Foundation Award Program,Unity College,10000.0,2020-04-01,Unity,1.0,0.0,0.0,Theodore R. Johnson joined United Parcel Service as an industrial engineer in 1923. He later became the first personnel manager and vice president of industrial relations. He retired in 1952. Theodore and Vivian Johnson believed that higher education is essential not only to the individual but also to the welfare and future of our country - that it leads to better leadership higher ideals a fuller life and a deeper appreciation of social responsibility. The dreams and aspirations of young people to attain what they envision for their future will come from hard work and effort. The Johnson Scholarship Foundation will assist by providing scholarships for those in need. Education will lead them to success and to their goals.The Johnson Scholarship Foundation Scholarship Program is for dependent children of full-time or permanent part-time UPS employees and UPS retirees in Florida. Scholarships will be provided to qualified students who have an intense desire to continue their education and who need financial assistance to attain their goals.The Johnson Scholarship Foundation Scholarship Program is administered by Scholarship America® the nation’s largest designer and manager of scholarship and tuition assistance and other education support programs for corporations foundations associations and individuals. Awards are granted without regard to race color creed religion sexual orientation gender disability or national origin.,https://www.scholarsapply.org/johnsonscholarship/instructions.php,,730,16
AU Emerging Global Leader funding for International Students in the USA,American University,68357.0,2020-01-15,Unity,1.0,0.0,0.0,The AU Emerging Global Leader Scholarship promotes educational access and opportunity while enhancing international diversity. Bringing together the best of AU - academic excellence leadership development and global engagement - the AU Emerging Global Leader achieves inspires and serves with vision. The AU EGL is dedicated to positive civic and social change and will return home to improve under-resourced underserved communities in their home country.,https://www.american.edu/admissions/international/au-egl-scholarship.cfm,,730,13
Dr Richard and Angela Carter Global USA Endowed funding for International Students,University of South Alabama,44000.0,2020-04-01,Mobile,1.0,0.0,0.0,The University of South Alabama has one of the most comprehensive scholarship programs in Alabama and is proud to offer a number of scholarship opportunities for international students. As many of these are competitive awards to ensure consideration students are encouraged to apply for admission prior to the April 1st priority deadline date.,https://www.southalabama.edu/departments/financialaffairs/scholarships/internationalstudents.html,,637,4
Akron Guarantee funding for International Students in the USA,University of Akron,2000.0,2020-06-15,Akron ...,1.0,0.0,0.0,The University of Akron offers competitive merit-based scholarship awards that not only renew each year but also grow — all while guaranteeing that tuition will not increase.The Akron Guarantee Scholarship starts with an initial award of $1000 to $7500 and the scholarship increases as you make progress toward earning a degree. In total the scholarship ranges from $8000 to $34000 over four years.,https://www.uakron.edu/guarantee,,168,4
Science and Law School Scholarship 2020-2021,The Fully Funded Science & Law School Scholarship,,2020-03-30,,1.0,1.0,1.0,The Fully Funded Science & Law School Scholarship 2020-2021 is an initiative taken by afidavit institute of judicial practice to sponsor international students from all over the world to study without paying any fee in any Science or Law school under 1000 QS University Rank. This Fully Funded Scholarship is open to undergrad master and doctoral programs students in Science and Law schools only.,https://afidavit.com/home/,,,
Carr Academic Scholarship,Angelo State University,15000.0,,Ironton,1.0,0.0,0.0,Angelo State University is home to the Carr Academic Scholarship our premium scholarship program available exclusively to ASU students. Funded by one of the largest endowments at a regional university these scholarships are awarded based on your academic achievements.Awards are based on your ACT or SAT test scores and your high school GPA.ACT tests we review the composite score.SAT tests we review the math & evidence-based reading/writing score.High school GPA’s are calculated on a 4.0 scale.,https://www.angelo.edu/services/scholarship-programs/carr-scholarships.php,,Un,4
University of South Florida A.P.J. Abdul Kalam Post Graduate Fellowship for Indian Students,University of South Florida,22000.0,2020-02-03,Tampa ...,0.0,1.0,0.0,To honor the memory of the late President of India Dr. A.P.J. Abdul Kalam the University of South Florida (USF) launched the A.P.J. Abdul Kalam Postgraduate (PhD) Fellowship in 215. The Fellowship is offered to students who have graduated (or are in the process of graduating) from an Indian university in a STEM (Science Technology Engineering and Mathematics) program. The Fellowship winners so far are Avijit Sengupta of IIT Bombay Veena Subramanian of the Indian Institute of Sciences in Bangalore and Arjun Kadian from the University of Pune. All three are currently pursuing their PhD research at USF.The deadline for applications for the 2020 Kalam Postgraduate Fellowship is February 3 2020.,https://www.usf.edu/world/resources/kalamfellowship.aspx,,61,0
$1000 Scholarship for Students Program by Quiet Gadgets,,1000.0,2020-08-01,,1.0,0.0,0.0,Quiet Gadgets in an organization that purely believes the power of paying back to the community and what else could be better than helping someone to get a good quality education and achieve their dreams? We all know that life is not the same for everyone and one could have to face some serious challenges in order to achieve something in life by getting educate themselves first.,https://quietgadgets.com/scholarship/,,,2
Direct speech center Scholarship,,1000.0,2020-03-25,,1.0,0.0,1.0,Directindirectspeech.com is an independent venture created by like-minded fellows to help students improve English for Exams Job Interviews or other life purposes. We are happy to have grown from a small audience to more than 100k Plus users a month. In order to share our success we are very excited to announce the $1000 Scholarship award for needy students. The sole purpose of our scholarship is to help students meet their various educational needs.,https://directindirectspeech.com/scholarship/,,,9
1-800-PAIN-FREE Scholarship,,1000.0,2020-04-17,,1.0,1.0,1.0,AICA is excited to offer the 1-800-PAIN-FREE Scholarship in the Spring of 2020!The program is open to all students no matter the field they choose to study in. Students can find out more and apply based on their eligibility as listed below.,https://chiropractoratlanta.com/#scholarship,,,1
AICA Orthopedics Scholarship,,1000.0,2020-04-17,,1.0,1.0,1.0,Having treated over 100000 patients and accident victims AICA Orthopedics is proud to offer a $1000 scholarship in the Spring of 2020.AICA is a multi-specialty ortho joint and chiro clinic that is looking to give back to the community and help one student with financial assistance for their educational expenses. Students studying in the healthcare medical and law fields are particularly encouraged to apply.However the program is open to all students no matter the field they choose to study in. Students can find out more and apply based on their eligibility as listed below.,https://www.aicaorthopedics.com/#scholarship,,,1
