Scholarship Name,Level of Study,Scholarship Value,Date,Eligibility,Benefits,Application,Descriptions,Link
Mrs Prindables Future Educator Scholarship,Master Bachelor,$1000,20 August 2020,Must Be A Incoming or current student pursuing education,$1000 Prize,Fill out the form below and upload either your transcripts or acceptance letter. Then tell us why you want to be an educator. What do you believe you have to offer the students of our future?,Mrs Prindables is offering a 2020 Scholarship opportunity for incoming or current college students majoring in education. We believe that educators have the power to spark positive development in student’s lives and their futures.Deadline is 8/20/2020 for submissions. Recipient will be notified via email on or about 8/26/2020.The scholarship award is to be used exclusively for school tuition or related expenses. A check for $1000 will be made payable to the award recipient’s college or university. The recipient is expected to submit receipts in accordance with IRS regulations.,
Eliminate The Stigma Scholarship,Master Bachelor Phd,$1000,31 August 2020,The scholarship is open to all US citizens entering or attending an accredited college or university. Applicants must maintain a GPA of 3.0 or higher. In addition to submitting an advocacy piece students must also submit the following documents:A completed scholarship application formA certified copy of transcripts,The winning student will be awarded a $1000 check made payable to the student's school.,Applications and submissions can be sent to outreach@greenwellnesslife.com. Submissions must be received by August 31st.,While CBD has helped so many different people across the world it still carries a negative stigma. We know there are many students out there who are passionate about CBD oil and we want to hear/promote their stories to help combat the stigma. We're looking for students to submit a piece advocating for CBD oil. The piece can be in the format of:A poemA photoA videoAn animationAn essayA graphicSubmissions must be received by August 31st.,https://www.greenwellnesslife.com/scholarship/
Adobe Design Circle Scholarships for International Students in USA,Bachelor, US $25000.00,12 March 2020,This scholarship is open to students who will be pursuing undergraduate college/university studies during the 2020-21 academic year. Applicants must be planning to enroll in an accredited college/university degree or certificate program.Applicants do not need to be accepted into an undergraduate program at the time of application but if selected for a scholarship proof of acceptance will be required before scholarship funds can be sent.While there is no minimum grade requirement to apply for this scholarship an applicant’s academic and extracurricular record must show the potential to succeed in a college/university program in their intended field of study.,Design Circle Scholars are eligible for up to U.S. $25000.00 per academic year for required tuition and fees*. The exact amount of each scholarship will be determined by several critical factors including:the Scholar’s expected financial needthe location of their college/universitythe type of college/university (state university private university etc.)Tuition amounts vary greatly from country to country and Scholars attending college/university in countries with higher tuition costs will receive larger scholarship awards. Every effort will be made to cover most if not all of each Scholar’s required tuition costs.However please be aware that some scholarship recipients specifically those attending higher cost universities in the United States may not have their full financial need met by this scholarship if the cost exceeds the U.S. $25000.00 per academic year.,Completed online application formA personal written or video statement of approximately 500 words or up to three minutes in lengthAn estimate of your expected tuition and fee expensesTwo reference letters. The letters must come from non-family members who knows you well - for example a teacher instructor professor employer/work supervisor advisor to an extracurricular club etc.High school transcript issued by the school (for applicants from the United Kingdom or Commonwealth countries A level O level GCSE or BTEC results are also acceptable)College/university transcript issued by the school if applicablePortfolio of up to three examples of your design work. Your portfolio can consist of links to websites you have built and/or links to third-party sites where you have uploaded your work (examples of third-party sites include Behance YouTube DailyMotion Imgur Dropbox etc.).Only applications completed by the deadline will be reviewed. Falsifying or plagiarizing any portion of your application is grounds for automatic disqualification.Scholarship applicants will be evaluated based on the following criteria:Achievement and potential in the design field with an emphasis on product experience and digital designDemonstrated leadership potential and abilityPersonal character commitment and potential to use design for positive social changeClearly expressed the financial need to support educational goalsCareer and academic goals in line with stated scholarship objectivesCompelling references,Scholarships can be renewed for up to four years or until completing your undergraduate degree whichever comes first. Scholarships are renewed each year pending academic progress.,https://www.iie.org/Programs/Adobe-Scholarships/Design-Circle-Scholarships/Scholarship-Information
2020 iPlum Scholarship,Master Bachelor Phd Course,$1000,1 December 2020,U.S. Citizen accepted to or currently attending a college or university within the United States.,$100 to use for school tuition or related expenses.,Please visit our website for more information about the application process.,At iPlum we are proud to offer a scholarship program for students in the process of pursuing a college degree. The awarded student will receive $1000 to be used towards expenses for his or her degree.,https://iplum.com/scholarship/
2020 Performance Based Results Scholarship,Master Bachelor,$1000,30 November 2020,U.S. citizens accepted to or currently attending a college or university within the United States. The winner will be required to provide proof of acceptance to your college or university or a college transcript.,A scholarship award of $1000.,Please apply for the scholarship through our website.,At Performance Based Results we are proud to offer a scholarship program for students in the process of pursuing a college degree. To be considered for the Performance-Based Scholarship you must submit a 200 - 500-word piece about why you want to pursue a degree in business. The awarded student will receive $1000 to be used towards expenses for his or her degree.,https://pbresults.com/scholarship
Accurate Metal Fabricating Scholarship,Master Bachelor,$500,30 November 2020,U.S. citizens accepted to or currently attending a college or university within the United States. The winner will be required to provide proof of acceptance to your college or university or a college transcript.,Scholarship reward of $500.,Please apply through our website via the application page.,At Accurate Metal Fabricating we are proud to offer a STEM scholarship program for students in the process of pursuing a college degree. The awarded student will receive $500 to be used towards expenses for his or her degree.,https://www.accuratemetalfab.com/scholarship
2020 NEW CITY MOVING SCHOLARSHIP,Master Phd Course,$1000,15 July 2020,U.S. citizen accepted to or currently attending a college or university within the United States. The winner will be required to provide proof of acceptance to your college or university or a college transcript.,The awarded student will receive $1000 to be used towards expenses for his or her degree.,Please visit our website for more information about the application process.,At New City Moving we are proud to offer a scholarship program for students in the process of pursuing a college degree. The awarded student will receive $1000 to be used towards expenses for his or her degree.,https://www.newcitymovers.com/scholarship/
Accurate Perforating Scholarship,Master Bachelor,$500,30 November 2020,U.S. citizens accepted to or currently attending a college or university within the United States. The winner will be required to provide proof of acceptance to your college or university or a college transcript.,They are rewarded a $500 scholarship award.,Please visit our website for more information.,At Accurate Perforating we are proud to offer a STEM scholarship program for students in the process of pursuing a college degree. The awarded student will receive $500 to be used towards expenses for his or her degree.,https://www.accurateperforating.com/2020-accurate-perforating-scholarship
Fully-Funded PhD Studentship in Nanochemistry at University of Exeter,Phd,£15009,,Applicants for this studentship must have obtained or be about to obtain a First or Upper Second Class UK Honours degree or the equivalent qualifications gained outside the UK in an appropriate area of science or technology.,£15009,In the application process you will be asked to upload several documents:CVLetter of application (outlining your academic interests prior research experience and reasons for wishing to undertake the project).Transcript(s) giving full details of subjects studied and grades/marks obtained (this should be an interim transcript if you are still studying)Two references from referees familiar with your academic work. Please ask your referees to email the reference direct to us quoting the studentship reference number or upload them with your application.If you are not a national of a majority English-speaking country you will need to submit evidence of your proficiency in English.The closing date for applications is midnight on February 17th 2020. Interviews will be held on the University of Exeter Streatham Campus the following weeks.,The University of Exeter’s College of Life and Environmental Sciences is inviting applications for a fully-funded PhD studentship to commence in April 2020 or as soon as possible thereafter. For eligible students the studentship will cover UK/EU tuition fees plus an annual tax-free stipend of at least £15009 for 3.5 years full-time or pro-rata for part-time study. The student would be based in the Living Systems Institute in the College of Life and Environmental Sciences at the Streatham Campus Exeter.,https://www.exeter.ac.uk/studying/funding/award/?id=3841
https://lifewaykefir.com/2020-lifeway-scholarship-application/,Master Bachelor,$5000,30 November 2020,U.S. citizens accepted to or currently attending a college or university within the United States. The winner will be required to provide proof of acceptance to his or her college or university or a college transcript.,The awarded student will receive $5000 to be used towards expenses for his or her degree.,Please visit the website for more information.,At Lifeway we are proud to offer a scholarship program for students in the process of pursuing a college degree with a STEM focus. Special consideration will be given to students studying the microbiome field. The awarded student will receive $5000 to be used towards expenses for his or her degree.All applicants are required to submit a personal essay about their future goals and how they aspire to help people lead healthier lives.,https://lifewaykefir.com/2020-lifeway-scholarship-application/
Old School Labs,Bachelor,1000,15 March 2020,Current high school (or home-schooled) student attending a school in the U.S. who will graduate during the 2019-2020 academic school yearU.S. Citizens U.S. Nationals or a U.S. Permanent ResidentWill receive high school diploma during the current academic yearPlanning to pursue a degree at an accredited U.S. post-secondary institution,This year the award is a $1000 scholarship.,Making a winning video essay can be a challenge. But here are a few tips to help give you the best chance of winning this year’s $1000 scholarship award.Don’t film on portrait mode on your cell phoneDon’t just talk into the camera for 5 straight minutes. Change angles go outside make a costume change etc. Take us on a visual journey to show us what you think (as opposed to just telling us).Don’t obviously read from your script (having a script is a good idea though!)Don’t exceed 5 minutes (but you do want to be pretty close to it)Video production quality counts. This means video audio editing graphics etc. Make this a video that YOU yourself would want to watch.,Here at Old School Labs we believe in challenging the status quo and helping others do the same. It took a team of scientists nutritionists and designers to help us re-invent a quality and healthy supplement.,https://www.oldschoollabs.com/scholarships/
NASP Scholarships for International Talented Students in North America,Master Bachelor Phd,$1000 to $8000 per year at eligible universities,1 February 2021,Applicants must be a full-time student enrolled in a nationally-recognized educational institution in North America and have a minimum cumulative unweighted college GPA of 3.0. The winner will be required to provide proof of acceptance to your college or university or a college transcript. Scholarship winners will be selected on merit.,Several scholarships from $1000 to $8000 per year at eligible universities,Please indicate in your application that you wish to be considered for the NASP scholarship. Please contact us should you have any questions regarding the scholarship.,Applicants are invited to apply for the NASP Scholarships for 2020-2021 entry. The program is available to outstanding international and domestic students.Awards are made on the basis of academic merit.,https://scholarships.plus/scholarships/bachelor/north-america/
NASP Scholarships for International and Domestic Students in North America,Master Bachelor Phd,Multiple Scholarships from $1000 to $5000,1 March 2021,Applicants must be a full-time student enrolled in a nationally-recognized educational institution in North America and have a minimum cumulative unweighted college GPA of 3.2. The NASP winner will be required to provide proof of acceptance to your college or university or a college transcript. Scholarship winners will be selected on merit.,Multiple scholarships from $1000 to $5000 depending on the personal achievements and areas of study.,To apply to NASP scholarships please read every particular award requirements and submit your application by March 1 2021.,Make a difference to the development of your home country with our North America Scholarships program covering 50% to 100% of tuition fees. Founded in 2011 NASP is our flagship scholarship program for international students.,https://scholarships.plus/scholarships/all-degrees/north-america/
Apex GMAT - GMAT Instruction Scholarship,Master,25% to 100% off total GMAT prep.,30 September 2020,Students who plan to take the GMAT and attend business schools that require a score in the range on 650 and above for admissions consideration. There are no location requirements as this scholarship is opened to any nationality and candidate seeking to attend an Masters program.,A student will receive private one on one GMAT tutoring with an instructor that has scored 770 or above on the GMAT as well as has many years of teaching under their belt.,The student should apply directly from the Apex GMAT scholarship page on the Apex GMAT website.,Apex is committed to delivering the best-customized one to one GMAT tutoring available on the market today. With instructors achieving a minimum of 770. The Apex GMAT Scholarship is designed to address this need for quality GMAT instruction and permit Apex to assist worthy candidates from a range of backgrounds.This application is designed to provide us with a snapshot of your hopes goals and dreams so that we can allocate our teaching resources to those individuals who best represent our ethos.Awards are both need and merit-based and are awarded by an internal committee at the sole discretion of Apex GMAT. As GMAT preparation and applications are often time-sensitive we strive to make scholarship decisions within 5 business days of submission.This application is designed to be completed at a single sitting in under an hour. While we hope that you’ll present your best self we encourage you to answer the questions as plainly and directly as possible. Revision and style are things best left to your GMAT application – we just want to learn about you!,https://apexgmat.com/gmat-scholarship/
McLean DDS Medical Scholarship,Master Bachelor,$1000,1 August 2020,To qualify undergraduate or graduate students must be majoring in a medical field of study and attending an accredited college or university based in the USA.,$1000 to use towards their medical degree.,Apply online at our website.,McLean DDS supports students pursuing a medical degree. Through the McLean DDS Medical Scholarship we award the winning student $1000 to be used toward his or her degree.,https://www.mclean-dentist.com/scholarship
RTA Cabinet Supply LLC Innovation Scholarship,Master Bachelor Phd Course,$500,30 April 2020,To be eligible the student must be enrolled in an educational institution in the United States.,The winner of the scholarship will be selected based on the best product idea on May 31st 2020.,Use the form on our website to submit your essay.The required number of words is approximate but should be at least 500 words. The essay should be written without grammatical errors and on the topic.The essay should be unique and your own work. We will own the copyright for the essay and reserve a right to post it on our website and promotional materials without additional compensation to the writer.,What home improvement innovations are unusual today but will be normal in 20 years?We are looking for products and/or services that are available on the market today. However they are considered expensive or unusual. Alternatively you can write an essay about home improvement innovations that are not available on the market yet but have a high potential.,https://www.rtacabinetsupply.com/innovation-scholarship.html
Future Educator Scholarship,Master Bachelor Phd Course,$1000,20 August 2020,incoming or current college students of any state or any college majoring in education.,They receive a $1000 scholarship.,Fill out the form on the site and upload either your transcripts or acceptance letter. Then tell us why you want to be an educator. What do you believe you have to offer the students of our future?,Mrs Prindables is offering a 2020 Scholarship opportunity for incoming or current college students majoring in education. We believe that educators have the power to spark positive development in student’s lives and their futures.Whether you are an incoming freshman or current student majoring in education we want to encourage you to apply for this $1000 scholarship.,
Spotless Cleaning Chicago Scholarship Program,Master Bachelor,$1000,30 December 2020,If you are a dynamic passionate hard-working student in high school college university or trade school create a 2-4 minute video explaining why you think education is the key to a brighter future and how you can shape society.,Show us your vision and you might just be the lucky winner to receive a $1000 scholarship grant from Spotless Cleaning Chicago.,Upload your video in YouTube with the title “Spotless Cleaning Chicago Scholarship Program by [insert your name]”. Include a link to this page in the description of your video and email your active YouTube link to our email address (please find it on our website) the following information:Your nameMailing addressContact numberName of your current schoolName of the school you’ll be attendingYour area of studyYour brilliant plans to better your futureThe deadline of submission is December 30 2020. The winner will be announced on January 10 2021 and the lucky student must claim the scholarship within two weeks after being contacted or the grant will be forfeited and we will have to choose another one.For more information please visit their website.,Here at Spotless Cleaning Chicago we recognize that the future will be shaped by the bold. At this very moment young visionaries from all over the globe are recognizing the need for innovation reshaping the way we understand the business and revolutionizing systems.Every day we meet thousands of these inspiring young individuals with big dreams great determination and an intense desire to change the world for the better. We believe potential like this should be encouraged developed and fostered until it becomes mature enough – immense enough – to impact society touch lives and move nations. That’s why we at Spotless Cleaning Chicago are reaching out to this generation of dreamers and we would like to give them the privilege to nourish their dreams to the fullest.,https://www.spotlesscleaningchicago.com/scholarship/
Bachelor and Master Plus Scholarships for Talented Students in the United States,Master Bachelor Course,20% of tuition fee up to $2000 per year,31 March 2020,Applicants must be a full-time student enrolled in a nationally-recognized educational institution in North America. The students will be shortlisted based on their performance in the essay.,International and local freshmen would get a scholarship of 20% of the tuition fee up to $2000 per year at eligible universities.,To apply to our Scholarship submit a 250-word response to the following essay: ‘Effective community development results in mutual benefit and shared responsibility among community members.'Submit your application by March 31 2020.,A Need-Based Scholarship Program for International and domestic students. Each year since 2016 a small highly talented group of international students is awarded need-based scholarships as part of our Plus Scholars Program. For most awards we consider academic achievement only.,https://scholarships.plus/scholarships/bachelor/united-states/
Asset Based Lending Scholarship,Master Bachelor,$1000,15 August 2020,U.S. citizen accepted to or currently attending a college or university within the United States. The winner will be required to provide proof of acceptance to your college or university or a college transcript.,The awarded student will receive $1000 to be used towards expenses for his or her degree.,Please visit the website to apply for the scholarship.,At ABL our commitment to financial literacy and continuing education extends beyond simply evaluating projects with our borrowers. Therefore we’re proud to offer a scholarship program for students in the process of pursuing a college degree in real estate for financial services related fields. The awarded student will receive $1000 to be used towards expenses for his or her degree.,https://www.abl1.net/scholarship/
Dixie Belle Paint Company Scholarship,Master Bachelor,Up to 3500,31 July 2020,Open to all high school college and grad school students.Must be a citizen of the US.Must submit an application form on Dixie Bell site.Must submit an essay of no more than 500 words answering the question: How does individual creativity lead to success?,3 Winners will be selected:1 (One) Grand Prize: $35002 (Two) Prizes of: $1250 eachAll 3 Dixie Belle Paint Scholarship winners will be notified on or around August 15 2020.,Please upload your application and essay on the provider’s website.,Dixie Belle Paint is a family-owned and operated paint company right here in the good ol’ USA! Built on American values and true Southern Hospitality.,
MILEMARK MEDIA LEGAL SCHOLARSHIP – 2020,Master Bachelor Phd Course,One scholarship of $1000 being offered.,13 February 2020,Criteria:Legal US residentEnrollment in an accredited college or university in the U.S.Must be an incoming or current law school studentMinimum of a 3.0 GPADeadline: February 13 2020Winner will be announced on February 20th 2020,The winner will receive a $1000 scholarship.,Students can apply through our website.,"MileMark Media is offering an annual $1000 legal scholarship to incoming or current law school students. MileMark is proud to support the legal community and excited for those entering the legal profession. Applicants must write a 500-word essay explaining why they have decided to enter the legal field including the reasons for deciding to go to law school legal influences current or life events contributing to their decision future legal goals and/or where you see yourself as a lawyer down the road etc. Essays transcripts and proof of enrollment can be emailed to us (please visit the website to find our contact details) subject line as ""Scholarship"". The winner along with their essay may be published on the company websites and social media.",https://www.milemarkmedia.com/legal-scholarship/
2020 Numina Group Scholarship,Master Bachelor Phd,$500,30 November 2020,U.S. citizens accepted to or currently attending a college or university within the United States. The winner will be required to provide proof of acceptance to your college or university or a college transcript.,$500 Award,Apply through the form found on their Scholarship page here please visit our website to find the right website.,At Numina Group we are proud to offer a scholarship program for students in the process of pursuing a college degree in STEM. The awarded student will receive $500 to be used towards expenses for his or her degree.,https://numinagroup.com/2020-numina-group-scholarship/
Student Essays Scholarship,Master,$1000 each for Five Students,25 March 2020,College & UniversityMinimum GPA: 2.5Age: Must be 18+ Years Old.Level: Any (Junior Senior or graduate student),We are extremely honored to disclose that we will be awarding 5 lucky students with $1000 scholarship each.,Introduce yourself briefly your life struggles achievements failures and life goals.Mention 10 Strong reasons why you deserve this scholarship at my students essays.Your message to youth any particular advice or suggestion from your side?How to Submit the video? ProcessUpload Video on YouTube with the title “$1000 My Students Essays Scholarship”In your video description add link: mystudentsessays.comOnce your video is live send us the live link at scholarships@mystudentsessays.com. Please don’t forget to send your full data; name mailing address & contact number.Email us a copy of your attendance at the university or college as proof. Along with it send us your DMS showing your GPA.Additional Guidelines on how to Win Scholarship?Creativity is an art for everyone.Try to be creative.Think out of the box try to stand out from the crowd.The video with unique content real story and impressive message would have the fair chances to grab the award.,Mystudentessays is an independent organization that believes in the power of education knowledge awareness and guidance. We know the rocky roads ahead both in personal and professional life. Therefore we are committed to help students financially so that they beat the challenges ahead.This scholarship is meant to help students college tuition boarding supplies and books. Please read below for further guidelines on how to be the lucky to grab a scholarship for you,https://mystudentsessays.com/scholarship
Cyber Security Scholarship,Master Bachelor Phd,$1000,15 July 2020,Must submit a 250 word response to the following essay question: Why have you chosen to enter the field of cybersecurity?Must be a legal resident in the United States.Must be 18 or older at the time of the application.Must be attending an accredited school such as a college university or trade school no later than the fall of 2021.Must have a declared major in Cybersecurity Computer Science network security IT security information assurance and security computer forensics or health information security or related.,One $1000 scholarship will be awarded to one winner. Winners will be notified within 60 days of the submission date.Winners will be notified by e-mail at which time he/she will be required to sign further documentation.,Students can apply through our website.,As cybercrime increases so does the demand for cybersecurity experts. A scholarship is now being offered to assist students with an interest in the cybersecurity industry. Students should have a declared major in a cybersecurity or related field (Ex. Network Security IT Security Information Assurance and Security Computer Forensics or Health Information Security etc).,https://cyber-security.degree/1k-scholarship/
Education Connection (EC) Military Scholarship,Master Bachelor Phd,$1000,30 September 2020,Applicants must meet the following criteria:Must submit a 250-word response to the following essay question: How has your military service prepared you to enhance your education?Must be military active duty honorably discharged veteran or a spouse from any branch of the military.Must be a legal resident in the United States.Must be 18 or older.Must be enrolled or will enroll at an accredited institution of higher learning no later than the fall of 2021.,One $1000 scholarship will be awarded to one winner.,Students can submit the application form on the provider website. Please visit our website to find more information about the application process.,To show the utmost gratitude for the sacrifices made by the United States military and their families Education Connection is offering a scholarship worth $1000 to assist current and former military-affiliated officials in advancing their civilian career paths. The scholarship can be used for college-related expenses.,
