Rank,University,Location,Description,Link
11,University of Minnesota,Minneapolis ...,Founded in 1851 University of Minnesota is a non-profit public higher education institution located in the urban setting of the small city of Minneapolis (population range of 250000-499999 inhabitants) Minnesota. This institution has also branch campuses in the following location(s): Crookston Duluth Morris Rochester. Officially accredited and/or recognized by the Higher Learning Commission University of Minnesota (U of M) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. University of Minnesota (U of M) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 169 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 40-50% making this US higher education organization a averagely selective institution. International students are welcome to apply for enrollment.,/reviews/5863.htm
12,University of Wisconsin-Madison,Madison,Established in 1848 University of Wisconsin-Madison is a non-profit public higher education institution located in the urban setting of the large town of Madison (population range of 50000-249999 inhabitants) Wisconsin.  Officially accredited and/or recognized by the Higher Learning Commission University of Wisconsin-Madison (UW) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. University of Wisconsin-Madison (UW) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 172 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International applicants are eligible to apply for enrollment.,/reviews/6888.htm
13,University of California Los Angeles,Los Angeles ...,Founded in 1919 University of California Los Angeles is a non-profit public higher education institution located in the urban setting of the metropolis of Los Angeles (population range of over 5000000 inhabitants) California. This institution has also branch campuses in the following location(s): Berkeley Davis Irvine Merced Riverside San Diego San Francisco Santa Barbara Santa Cruz. Officially accredited and/or recognized by the WASC Senior College and University Commission University of California Los Angeles (UCLA) is a very large (uniRank enrollment range: 40000-44999 students) coeducational higher education institution. University of California Los Angeles (UCLA) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 101 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 10-20% making this US higher education organization a most selective institution. International students are welcome to apply for enrollment.,/reviews/5147.htm
14,New York University,New York City ...,Established in 1831 New York University is a non-profit private higher education institution located in the urban setting of the metropolis of New York City (population range of over 5000000 inhabitants) New York. This institution has also branch campuses in the following location(s): Abu Dhabi Shanghai. Officially accredited and/or recognized by the Middle States Commission on Higher Education New York University (NYU) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. New York University (NYU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 188 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 10-20% making this US higher education organization a most selective institution. International applicants are eligible to apply for enrollment.,/reviews/6122.htm
15,University of Pennsylvania,Philadelphia,Established in 1740 University of Pennsylvania is a non-profit private higher education institution located in the urban setting of the large city of Philadelphia (population range of 1000000-5000000 inhabitants) Pennsylvania.  Officially accredited and/or recognized by the Middle States Commission on Higher Education University of Pennsylvania (Upenn) is a large (uniRank enrollment range: 25000-29999 students) coeducational higher education institution. University of Pennsylvania (Upenn) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 280 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 10-20% making this US higher education organization a most selective institution. International applicants are eligible to apply for enrollment.,/reviews/6506.htm
16,Yale University,New Haven,Founded in 1701 Yale University is a non-profit private higher education institution located in the urban setting of the large town of New Haven (population range of 50000-249999 inhabitants) Connecticut.  Officially accredited and/or recognized by the Commission on Institutions of Higher Education of the New England Association of Schools and Colleges Yale University (YU) is a large (uniRank enrollment range: 10000-14999 students) coeducational higher education institution. Yale University (YU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 318 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 0-10% making this US higher education organization a most selective institution. International students are welcome to apply for enrollment.,/reviews/5233.htm
17,The University of Texas at Austin,Austin,Founded in 1883 The University of Texas at Austin is a non-profit public higher education institution located in the urban setting of the medium-sized city of Austin (population range of 500000-1000000 inhabitants) Texas.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges The University of Texas at Austin (UT Austin) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. The University of Texas at Austin (UT Austin) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 136 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 30-40% making this US higher education organization a very selective institution. International students are welcome to apply for enrollment.,/reviews/6721.htm
18,Princeton University,Princeton,Founded in 1746 Princeton University is a non-profit private higher education institution located in the suburban setting of the medium-sized town of Princeton (population range of 10000-49999 inhabitants) New Jersey.  Officially accredited and/or recognized by the Middle States Commission on Higher Education Princeton University  is a medium-sized (uniRank enrollment range: 8000-8999 students) coeducational higher education institution. Princeton University offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 274 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 0-10% making this US higher education organization a most selective institution. International students are welcome to apply for enrollment.,/reviews/6015.htm
19,Carnegie Mellon University,Pittsburgh ...,Established in 1900 Carnegie Mellon University is a non-profit private higher education institution located in the urban setting of the small city of Pittsburgh (population range of 250000-499999 inhabitants) Pennsylvania. This institution has also branch campuses in the following location(s): Silicon Valley Doha. Officially accredited and/or recognized by the Middle States Commission on Higher Education Carnegie Mellon University (CMU) is a large (uniRank enrollment range: 10000-14999 students) coeducational higher education institution. Carnegie Mellon University (CMU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 120 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 20-30% making this US higher education organization a very selective institution. International applicants are eligible to apply for enrollment.,/reviews/6422.htm
20,University of Southern California,Los Angeles,Established in 1880 University of Southern California is a non-profit private higher education institution located in the urban setting of the metropolis of Los Angeles (population range of over 5000000 inhabitants) California.  Officially accredited and/or recognized by the WASC Senior College and University Commission University of Southern California (USC) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. University of Southern California (USC) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 139 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 10-20% making this US higher education organization a most selective institution. International applicants are eligible to apply for enrollment.,/reviews/5160.htm
21,University of California Irvine,Irvine ...,Established in 1965 University of California Irvine is a non-profit public higher education institution located in the urban setting of the large town of Irvine (population range of 50000-249999 inhabitants) California. This institution has also branch campuses in the following location(s): Berkeley Davis Los Angeles Merced Riverside San Diego San Francisco Santa Barbara Santa Cruz. Officially accredited and/or recognized by the WASC Senior College and University Commission University of California Irvine (UCI) is a very large (uniRank enrollment range: 35000-39999 students) coeducational higher education institution. University of California Irvine (UCI) offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 55 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 20-30% making this US higher education organization a very selective institution. International applicants are eligible to apply for enrollment.,/reviews/5146.htm
22,University of Colorado Boulder,Boulder,Founded in 1876 University of Colorado Boulder is a non-profit public higher education institution located in the urban setting of the large town of Boulder (population range of 50000-249999 inhabitants) Colorado.  Officially accredited and/or recognized by the Higher Learning Commission University of Colorado Boulder (CU Boulder) is a very large (uniRank enrollment range: 35000-39999 students) coeducational higher education institution. University of Colorado Boulder (CU Boulder) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 144 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 80-90% making this US higher education organization a least selective institution. International students are welcome to apply for enrollment.,/reviews/5197.htm
23,University of Illinois at Urbana-Champaign,Champaign ...,Established in 1867 University of Illinois at Urbana-Champaign is a non-profit public higher education institution located in the urban setting of the large town of Champaign (population range of 50000-249999 inhabitants) Illinois. This institution has also branch campuses in the following location(s): Chicago Springfield. Officially accredited and/or recognized by the Higher Learning Commission University of Illinois at Urbana-Champaign (UIUC) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. University of Illinois at Urbana-Champaign (UIUC) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 153 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International applicants are eligible to apply for enrollment.,/reviews/5474.htm
24,Arizona State University,Tempe ...,Established in 1885 Arizona State University is a non-profit public higher education institution located in the urban setting of the large town of Tempe (population range of 50000-249999 inhabitants) Arizona. This institution has also branch campuses in the following location(s): Mesa Phoenix Glendale Lake Havasu City. Officially accredited and/or recognized by the Higher Learning Commission Arizona State University (ASU Tempe) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. Arizona State University (ASU Tempe) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 135 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 80-90% making this US higher education organization a least selective institution. International applicants are eligible to apply for enrollment.,/reviews/4964.htm
25,University of Chicago,Chicago,Established in 1891 University of Chicago is a non-profit private higher education institution located in the urban setting of the large city of Chicago (population range of 1000000-5000000 inhabitants) Illinois.  Officially accredited and/or recognized by the Higher Learning Commission University of Chicago  is a large (uniRank enrollment range: 15000-19999 students) coeducational higher education institution. University of Chicago offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 129 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 0-10% making this US higher education organization a most selective institution. International applicants are eligible to apply for enrollment.,/reviews/5470.htm
26,Johns Hopkins University,Baltimore ...,Founded in 1876 Johns Hopkins University is a non-profit private higher education institution located in the urban setting of the medium-sized city of Baltimore (population range of 500000-1000000 inhabitants) Maryland. This institution has also branch campuses in the following location(s): Rockville Laurel Columbia Elkridge Abderdeen California (MD) Washington (DC) Bologna (IT) Nanjing (CN). Officially accredited and/or recognized by the Middle States Commission on Higher Education Johns Hopkins University (JHU) is a large (uniRank enrollment range: 25000-29999 students) coeducational higher education institution. Johns Hopkins University (JHU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 144 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 10-20% making this US higher education organization a most selective institution. International students are welcome to apply for enrollment.,/reviews/5669.htm
27,University of California San Diego,San Diego ...,Founded in 1960 University of California San Diego is a non-profit public higher education institution located in the urban setting of the large city of San Diego (population range of 1000000-5000000 inhabitants) California. This institution has also branch campuses in the following location(s): Berkeley Davis Irvine Los Angeles Merced Riverside San Francisco Santa Barbara Santa Cruz. Officially accredited and/or recognized by the WASC Senior College and University Commission University of California San Diego (UCSD) is a very large (uniRank enrollment range: 30000-34999 students) coeducational higher education institution. University of California San Diego (UCSD) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 59 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 30-40% making this US higher education organization a very selective institution. International students are welcome to apply for enrollment.,/reviews/5151.htm
28,Michigan State University,East Lansing,Founded in 1855 Michigan State University is a non-profit public higher education institution located in the urban setting of the medium-sized town of East Lansing (population range of 10000-49999 inhabitants) Michigan.  Officially accredited and/or recognized by the Higher Learning Commission Michigan State University (MSU) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. Michigan State University (MSU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 165 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.,/reviews/5809.htm
29,The University of Arizona,Tucson,Founded in 1885 The University of Arizona is a non-profit public higher education institution located in the urban setting of the medium-sized city of Tucson (population range of 500000-1000000 inhabitants) Arizona.  Officially accredited and/or recognized by the Higher Learning Commission The University of Arizona (UA) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. The University of Arizona (UA) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 135 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.,/reviews/4975.htm
30,University of Florida,Gainesville,Founded in 1853 University of Florida is a non-profit public higher education institution located in the urban setting of the large town of Gainesville (population range of 50000-249999 inhabitants) Florida.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges University of Florida (UF) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. University of Florida (UF) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 167 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 40-50% making this US higher education organization a averagely selective institution. International students are welcome to apply for enrollment.,/reviews/5297.htm
31,Rutgers The State University of New Jersey,New Brunswick ...,Established in 1766 Rutgers The State University of New Jersey is a non-profit public higher education institution located in the urban setting of the large town of New Brunswick (population range of 50000-249999 inhabitants) New Jersey. This institution has also branch campuses in the following location(s): Newark Camden. Officially accredited and/or recognized by the Middle States Commission on Higher Education Rutgers The State University of New Jersey (Rutgers) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. Rutgers The State University of New Jersey (Rutgers) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 253 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/6020.htm
32,Northwestern University,Evanston ...,Established in 1851 Northwestern University is a non-profit private higher education institution located in the urban setting of the large town of Evanston (population range of 50000-249999 inhabitants) Illinois. This institution has also branch campuses in the following location(s): Chicago Doha Washington DC San Francisco. Officially accredited and/or recognized by the Higher Learning Commission Northwestern University (NU) is a large (uniRank enrollment range: 25000-29999 students) coeducational higher education institution. Northwestern University (NU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates diplomas associate or foundation degrees) bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 169 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 0-10% making this US higher education organization a most selective institution. International applicants are eligible to apply for enrollment.,/reviews/5442.htm
33,Texas A&M University,College Station,Established in 1876 Texas A&M University is a non-profit public higher education institution located in the urban setting of the large town of College Station (population range of 50000-249999 inhabitants) Texas.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Texas A&M University (TAMU) is a very large (uniRank enrollment range: over-45000 students) coeducational higher education institution. Texas A&M University (TAMU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 144 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.,/reviews/6684.htm
34,Duke University,Durham,Established in 1838 Duke University is a non-profit private higher education institution located in the urban setting of the large town of Durham (population range of 50000-249999 inhabitants) North Carolina.  Officially accredited and/or recognized by the Southern Association of Colleges and Schools Commission on Colleges Duke University (DUKE) is a large (uniRank enrollment range: 15000-19999 students) coeducational higher education institution formally affiliated with the Christian-Methodist religion. Duke University (DUKE) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 182 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 10-20% making this US higher education organization a most selective institution. International applicants are eligible to apply for enrollment.,/reviews/6210.htm
35,Boston University,Boston ...,Founded in 1869 Boston University is a non-profit private higher education institution located in the urban setting of the medium-sized city of Boston (population range of 500000-1000000 inhabitants) Massachusetts. This institution has also branch campuses in the following location(s): Los Angeles Washington DC London Paris Sydney. Officially accredited and/or recognized by the Commission on Institutions of Higher Education of the New England Association of Schools and Colleges Boston University (BU) is a very large (uniRank enrollment range: 35000-39999 students) coeducational higher education institution. Boston University (BU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 151 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 20-30% making this US higher education organization a very selective institution. International students are welcome to apply for enrollment.,/reviews/5703.htm
36,University of California Davis,Davis ...,Established in 1905 University of California Davis is a non-profit public higher education institution located in the suburban setting of the large town of Davis (population range of 50000-249999 inhabitants) California. This institution has also branch campuses in the following location(s): Berkeley Irvine Los Angeles Merced Riverside San Diego San Francisco Santa Barbara Santa Cruz. Officially accredited and/or recognized by the WASC Senior College and University Commission University of California Davis (UC Davis) is a very large (uniRank enrollment range: 35000-39999 students) coeducational higher education institution. University of California Davis (UC Davis) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 115 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 40-50% making this US higher education organization a averagely selective institution. International applicants are eligible to apply for enrollment.,/reviews/5144.htm
37,The University of Utah,Salt Lake City,Founded in 1850 The University of Utah is a non-profit public higher education institution located in the urban setting of the large town of Salt Lake City (population range of 50000-249999 inhabitants) Utah.  Officially accredited and/or recognized by the Northwest Commission on Colleges and Universities The University of Utah (The U) is a very large (uniRank enrollment range: 35000-39999 students) coeducational higher education institution. The University of Utah (The U) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees master degrees doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 170 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 80-90% making this US higher education organization a least selective institution. International students are welcome to apply for enrollment.,/reviews/6737.htm
